,full name,state,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
27,['Abbey Willing'],PA,,,,,,2169.3,0.0,0.0,0.0,0.0,0.0,0.0,0
28,['Abel Hine'],CT,['Abel Hine'],,['Abel Hine'],['Abel Hine'],,1118.47,1102.0055699999998,0.0,1.2555555555555555,1.2555555555555555,0.0,1104.5166811111108,3
29,['Abel Morse'],CT,['Abel Morse'],,,,,1388.83,1388.8693,0.0,0.0,0.0,0.0,1388.8693,1
30,['Abel Patchen'],CT,['Abel Patchen'],,,,,153.96,153.97915999999998,0.0,0.0,0.0,0.0,153.97915999999998,1
31,['Abel Tibbals'],CT,['Abel Tibbals'],,,,,49.16,107.66526999999999,0.0,0.0,0.0,0.0,107.66526999999999,1
32,['Abgail Ellsworth'],CT,,,,,,848.46,0.0,0.0,0.0,0.0,0.0,0.0,0
33,['Abiel Canfield'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,['Abiel Foster'],NH,['Abiel Foster'],,['Abiel Foster'],['Abiel Foster'],,96.03,93.53333,0.0,7.5,7.5,0.0,108.53333,3
35,['Abiel Griswold'],CT,['Abiel Griswold'],,,,,111.87,493.3708,0.0,0.0,0.0,0.0,493.3708,1
36,['Abiel Smith'],RI,,,,,,972.53,0.0,0.0,0.0,0.0,0.0,0.0,0
37,['Abigail Ash'],PA,,,,,,198.66,0.0,0.0,0.0,0.0,0.0,0.0,0
38,['Abigail Ball'],NH,,,,,,149.81,0.0,0.0,0.0,0.0,0.0,0.0,0
39,['Abigail Budd'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,['Abigail Bulkley'],CT,,,,,,555.93,0.0,0.0,0.0,0.0,0.0,0.0,0
41,['Abigail Burr'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,['Abigail Guild'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,['Abigail Keyes'],CT,,,,,,154.44,0.0,0.0,0.0,0.0,0.0,0.0,0
44,['Abigail Minis'],GA,,,,,,30.130266,0.0,0.0,0.0,0.0,0.0,0.0,0
45,['Abigail Prime'],NH,,,,,,108.28,0.0,0.0,0.0,0.0,0.0,0.0,0
46,['Abigail Robbins'],CT,,,,,,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0
47,['Abigail Sizer'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,['Abigail Vergereau'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,['Abigail Vergereau'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,['Abigail Watson'],CT,,,,,,2065.2,0.0,0.0,0.0,0.0,0.0,0.0,0
51,['Abijah Abbot'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,['Abijah Hammond'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,['Abijah Holbrook'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,['Abijah Savage'],CT,,['Habijah Savage'],,,['Abijah Savage'],800.0,0.0,2721.81944,0.0,0.0,2405.75,5127.56944,2
55,['Abner Andruss'],CT,,,,,,59.66,0.0,0.0,0.0,0.0,0.0,0.0,0
56,['Abner Butler'],RI,,,,,,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0
57,['Abner Cole'],CT,,,,,['Abner Cole'],80.0,0.0,0.0,0.0,0.0,1559.13,1559.13,1
58,['Abner Corson'],PA,['Abner Corson'],,,,,60.23,60.238890000000005,0.0,0.0,0.0,0.0,60.238890000000005,1
59,['Abner Daggett'],RI,,,,,,1525.42,0.0,0.0,0.0,0.0,0.0,0.0,0
60,['Abner Johnson'],CT,,,,,,337.83,0.0,0.0,0.0,0.0,0.0,0.0,0
61,['Abner Sage'],CT,,,,,,39.33,0.0,0.0,0.0,0.0,0.0,0.0,0
62,['Abner Whitney'],VA,,,,,,196.71,0.0,0.0,0.0,0.0,0.0,0.0,0
63,['Abraham Barker'],RI,,,,,,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0
64,['Abraham Belknap transferred from Register'],RI,,,,,,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0
65,['Abraham Brinckenhoff'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,['Abraham Brinkerhoff'],NY,['Abraham Brinkerhoff'],,"['Abraham Brinkerhoff', 'Abraham Brinckerhoff']","['Abraham Brinkerhoff', 'Abraham Brinckerhoff']",,137.85,6265.13749,0.0,1201.388888888889,1201.388888888889,0.0,8667.915267777778,3
67,['Abraham Brinsmade'],CT,['Abraham Brinsmade'],,,,,400.0,400.0,0.0,0.0,0.0,0.0,400.0,1
68,['Abraham Brower'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69,['Abraham Buford'],VA,,,,,['Abraham Buford'],4500.0,0.0,0.0,0.0,0.0,4500.0,4500.0,1
70,['Abraham C Vanhorne'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,"['Abraham Cole', 'James Cole']",NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,['Abraham Cothout'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,['Abraham Cruzer'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74,['Abraham DeMott'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,['Abraham Dubois'],NJ,['Abraham Dubois'],,,['Abraham Dubois'],,0.0,0.0,0.0,0.0,812.0666666666667,0.0,812.0666666666667,2
76,['Abraham Dubois'],PA,['Abraham Dubois'],,,['Abraham Dubois'],,4006.15,555.7291,0.0,0.0,812.0666666666667,0.0,1367.7957666666666,2
77,['Abraham Duryee'],NY,,,['Abraham Duryee'],['Abraham Duryee'],,4170.0,0.0,0.0,222.0222222222222,222.0222222222222,0.0,444.0444444444444,2
78,['Abraham Fonda'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,['Abraham Fowler'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,['Abraham G Claypoole'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81,['Abraham G Lansing'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
82,['Abraham Hewlings'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83,['Abraham Hite'],VA,['Abraham Hite'],,,,['Abraham Hite'],19.89,155.43193,0.0,0.0,0.0,2754.82,2910.2519300000004,2
84,['Abraham Hunt'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,['Abraham J Van Alstyne'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
86,['Abraham Lansing'],NY,['Abraham A. Lansing'],,"['Abraham Lansing', 'Abraham H Lansing', 'Abraham A Lansingh', 'Abraham G Lansing']","['Abraham Lansing', 'Abraham H Lansing', 'Abraham G Lansing']",,1631.76,3300.0,0.0,7559.966666666666,6759.633333333333,0.0,17619.6,3
87,['Abraham Lewis'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,['Abraham Lyon'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,['Abraham Markoe'],PA,['Abraham Markoe'],['Abraham Markoe'],,,,9325.02,12628.56825,391.1111,0.0,0.0,0.0,13019.67935,2
90,['Abraham Mosser'],PA,,,,['Abraham Osser'],,33.33,0.0,0.0,0.0,120.12222222222222,0.0,120.12222222222222,1
91,['Abraham Pierson'],CT,['Abraham Pierson'],,,['Abraham Pierson'],,862.39,17.76944,0.0,0.0,9.466666666666667,0.0,27.236106666666664,2
92,['Abraham Pyott'],PA,,,['Abraham Pyott'],,,491.42,0.0,0.0,30.544444444444444,0.0,0.0,30.544444444444444,1
93,['Abraham Reiguel'],PA,['Abraham Reiguel'],,,,,3260.27,468.01396,0.0,0.0,0.0,0.0,468.01396,1
94,['Abraham Sheridan'],PA,,,,,,156.22,0.0,0.0,0.0,0.0,0.0,0.0,0
95,['Abraham Staats'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,['Abraham Ten Eyk'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,['Abraham Van Dorne'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,['Abraham Van Duerson'],NY,,,,,,2465.52,0.0,0.0,0.0,0.0,0.0,0.0,0
99,['Abraham Vanhorne'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,['Abraham Venabb'],VA,,,,,,1691.15,0.0,0.0,0.0,0.0,0.0,0.0,0
101,['Abraham Walker'],RI,,,,,,196.66,0.0,0.0,0.0,0.0,0.0,0.0,0
102,['Abraham Wayne'],PA,['Abraham Wayne'],,,,,2330.25,1398.6388500000005,0.0,0.0,0.0,0.0,1398.6388500000005,1
103,['Abraham Williamson'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,['Abraham Witt'],PA,['Abraham Witt'],,,,,6126.3,4485.90267,0.0,0.0,0.0,0.0,4485.90267,1
105,['Abram C Van Horne'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
106,['Abram Henlings'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107,['Abram Hunt'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108,['Abrham Blumer'],PA,,,,,,182.33,0.0,0.0,0.0,0.0,0.0,0.0,0
109,['Absalom Redgely'],MD,,,,,,3624.9,0.0,0.0,0.0,0.0,0.0,0.0,0
110,['Achilles Mansfield'],CT,,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,['Achsah Lambert'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,['Adam Craig'],VA,,,,,,4052.88,0.0,0.0,0.0,0.0,0.0,0.0,0
113,['Adam Crain Jones'],SC,,,,,,72.63,0.0,0.0,0.0,0.0,0.0,0.0,0
114,['Adam Gilchrist'],GA,,,,,,40.7796,0.0,0.0,0.0,0.0,0.0,0.0,0
115,['Adam Gilchrist'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
116,['Adam Gilchrist'],PA,,,,,,4319.22,0.0,0.0,0.0,0.0,0.0,0.0,0
117,['Adam Gilchrist'],SC,,,,,,14418.84,0.0,0.0,0.0,0.0,0.0,0.0,0
118,['Adam Harbeson'],PA,,,,,,373.15,0.0,0.0,0.0,0.0,0.0,0.0,0
119,['Adam Hope'],PA,['Adam Hope'],,,,,1685.77,2086.34448,0.0,0.0,0.0,0.0,2086.34448,1
120,['Adam Stahl'],PA,,,['Adam Stahl'],,,114.87,0.0,0.0,28.0,0.0,0.0,28.0,1
121,['Adoniah Schuyler'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,['Adonijah Bidwell'],CT,['Adonijah Bidwell'],,,,,561.27,122.82224,0.0,0.0,0.0,0.0,122.82224,1
123,['Adonijah Francis'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
124,['Adrian Kinney'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
125,['Adrian Valck'],MD,,,,,,13205.24,0.0,0.0,0.0,0.0,0.0,0.0,0
126,['Agness Grier'],PA,,,,,,900.48,0.0,0.0,0.0,0.0,0.0,0.0,0
127,['Agness ann'],PA,,,,,,883.63,0.0,0.0,0.0,0.0,0.0,0.0,0
128,['Albartus Van Loon'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
129,['Albert Aerny Muller'],SC,,,,,,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0
130,['Albert Hyckoff'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131,['Alexander Bleecker'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
132,['Alexander Bose'],GA,,,,,,6.9962,0.0,0.0,0.0,0.0,0.0,0.0,0
133,['Alexander Buchanan'],VA,,,,,,859.21,0.0,0.0,0.0,0.0,0.0,0.0,0
134,['Alexander Chambers'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,['Alexander Fowler'],SC,,,,,,83.57,0.0,0.0,0.0,0.0,0.0,0.0,0
136,['Alexander Fullerton'],PA,['Alexander Fullerton'],,,,,3766.13,94.40278,0.0,0.0,0.0,0.0,94.40278,1
137,['Alexander Gillon'],SC,,,,,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0
138,['Alexander Hamilton'],MD,,,,,,4778.24,0.0,0.0,0.0,0.0,0.0,0.0,0
139,['Alexander Henderson'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
140,['Alexander Hunt'],CT,['Alexander Hunt'],,,,,325.82,173.09998000000002,0.0,0.0,0.0,0.0,173.09998000000002,1
141,['Alexander Hunt'],NY,['Alexander Hunt'],,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
142,['Alexander J Dallas'],PA,,,,,,24.38,0.0,0.0,0.0,0.0,0.0,0.0,0
143,['Alexander Lawson Smith'],MD,,['Alexander Smith'],,['Alexander Smith'],['Alexander Smith'],1534.86,0.0,1055.3943199999999,0.0,53.9,650.1800000000001,1759.47432,3
144,['Alexander Lockhart'],PA,['Alexander Lockhart'],,,,,135.0,110.0,0.0,0.0,0.0,0.0,110.0,1
145,['Alexander M  Robert'],VA,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
146,['Alexander Macomb'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
147,['Alexander McPherson'],MD,['Alexander McPherson'],,,,,825.0,51.98612,0.0,0.0,0.0,0.0,51.98612,1
148,['Alexander McRobert'],VA,,,,,,504.51,0.0,0.0,0.0,0.0,0.0,0.0,0
149,['Alexander Miller'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150,['Alexander Montgomery'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151,"['Alexander Mowatt', 'Michael Mowatt']",NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
152,['Alexander Nelson'],NC,,,,,,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0
153,['Alexander Robinson'],MD,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
154,['Alexander Rose'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155,['Alexander Rose'],SC,,,,,,1490.09,0.0,0.0,0.0,0.0,0.0,0.0,0
156,['Alexander Stewart'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
157,['Alexander Turner'],PA,['Alexander Turner'],,['Alexander Turner'],,,10.1,200.0,0.0,3811.6666666666665,0.0,0.0,4011.6666666666665,2
158,['Alexander Warfield'],MD,,,,,,167.25,0.0,0.0,0.0,0.0,0.0,0.0,0
159,['Alexander Zuntz'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160,['Alfred Elderkin'],CT,,,,,,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0
161,['Algernon Roberts'],PA,['Algernon Roberts'],,,,,136.66,136.6667,0.0,0.0,0.0,0.0,136.6667,1
162,['Alida Van Renselear'],NY,,,,,,767.72,0.0,0.0,0.0,0.0,0.0,0.0,0
163,['All from Register of the Treasury'],RI,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164,['Allada VanVeghter'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165,['Allen Boys'],PA,,,,,,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0
166,['Allen McLean'],PA,['Allen McLean'],,,,,3771.06,41.40278,0.0,0.0,0.0,0.0,41.40278,1
167,['Allen Olcott'],CT,['Allen Olcott'],,,,,162.16,82.17500999999999,0.0,0.0,0.0,0.0,82.17500999999999,1
168,['Allen Sillman'],CT,['Allen Stillman'],,,,,103.09,99.07083,0.0,0.0,0.0,0.0,99.07083,1
169,"['Allexander Gillon', 'Robert Smith']",SC,['Robert Smith'],['Robert Smith'],['Robert Smith'],,['Robert Smith'],426.24,0.0,186.8514,0.0,0.0,593.9300000000001,780.7814000000001,4
170,['Alpha Child'],CT,,,,,,65.87,0.0,0.0,0.0,0.0,0.0,0.0,0
171,['Alpheus Freeman'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
172,['Alvey Rowland'],CT,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
173,['Amarinthia Elliott'],SC,,,,,,546.88,0.0,0.0,0.0,0.0,0.0,0.0,0
174,"['Amasa Keyes', 'Elnathan Keyes']",CT,,,,,,266.67,0.0,0.0,0.0,0.0,0.0,0.0,0
175,['Amasa Keyes'],CT,,,,,,243.69,0.0,0.0,0.0,0.0,0.0,0.0,0
176,['Amasa Keyes'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
177,['Amasa Learned'],RI,,,,,,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0
178,['Amasa Loomis'],CT,,,['Amasa Loomis'],['Amasa Loomis'],,905.78,0.0,0.0,7.5,7.5,0.0,15.0,2
179,['Amaziah Chappel'],CT,,,,,,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0
180,['Amey Richmond'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
181,['Amme Bucklin'],RI,,,,,,89.01,0.0,0.0,0.0,0.0,0.0,0.0,0
182,['Ammi R Cutter'],NH,['Ammi R Cutter'],,,,,4234.87,3397.5334000000003,0.0,0.0,0.0,0.0,3397.5334000000003,1
183,['Ammi R Robbins'],CT,['Ammi R Robbins'],,,,,216.83,216.8333,0.0,0.0,0.0,0.0,216.8333,1
184,['Amos Attwell'],RI,,,,,,233.34,0.0,0.0,0.0,0.0,0.0,0.0,0
185,['Amos Avery'],CT,['Amos Avery'],,,,,900.0,1241.9611400000003,0.0,0.0,0.0,0.0,1241.9611400000003,1
186,['Amos Horton'],RI,,,,,,1999.99,0.0,0.0,0.0,0.0,0.0,0.0,0
187,['Amos Hutchins'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
188,['Amos Lockwood'],RI,,,,,,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0
189,['Amos Lyon'],CT,,,,,,612.31,0.0,0.0,0.0,0.0,0.0,0.0,0
190,['Amos Miller'],CT,['Amos Miller'],,,,,654.05,654.0763999999999,0.0,0.0,0.0,0.0,654.0763999999999,1
191,['Amos Moody'],NH,,,,,,96.25,0.0,0.0,0.0,0.0,0.0,0.0,0
192,['Amos Sage'],CT,['Amos Sage'],,,,,15.62,45.29167,0.0,0.0,0.0,0.0,45.29167,1
193,['Amos Shepard'],CT,['Amos Shephard'],,,,,1167.06,1653.3445,0.0,0.0,0.0,0.0,1653.3445,1
194,['Amos Throop Transfer'],RI,,,,,,843.37,0.0,0.0,0.0,0.0,0.0,0.0,0
195,['Amos Throop'],RI,,,,,,1662.65,0.0,0.0,0.0,0.0,0.0,0.0,0
196,['Amos White'],CT,,,,,,536.05,0.0,0.0,0.0,0.0,0.0,0.0,0
197,"['Amshong', 'Barnwall']",NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198,['Amy Hunter'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
199,['Ananias Cooper'],GA,,,,,,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0
200,['Ananias Cooper'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
201,['Ananias Cooper'],SC,,,,,,612.17,0.0,0.0,0.0,0.0,0.0,0.0,0
202,['Anderson Scott'],VA,['Anderson Scott'],,,,,788.78,218.7,0.0,0.0,0.0,0.0,218.7,1
203,['Andew Brown'],RI,,,,,,426.48,0.0,0.0,0.0,0.0,0.0,0.0,0
204,['Andrew   Dunscomb'],VA,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
205,['Andrew Baille'],MD,,,,,,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0
206,['Andrew Bausman'],PA,['Andrew Bausman'],,,,,600.0,435.55557999999996,0.0,0.0,0.0,0.0,435.55557999999996,1
207,['Andrew Bowsman'],PA,['Andrew Bowsman'],,,,,5596.47,3483.4972399999997,0.0,0.0,0.0,0.0,3483.4972399999997,1
208,['Andrew Caldwell'],PA,['Andrew Caldwell'],,['Andrew Caldwell'],,,12658.61,24338.29593,0.0,195.98888888888888,0.0,0.0,24534.28481888889,2
209,['Andrew Clow'],PA,,,,,,21966.25,0.0,0.0,0.0,0.0,0.0,0.0,0
210,['Andrew Craigie'],NY,,,,,,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0
211,['Andrew Craigie'],SC,,,,,,594.3,0.0,0.0,0.0,0.0,0.0,0.0,0
212,['Andrew Dexter'],CT,,['Andrew Dexter'],,,,10.74,0.0,2900.0,0.0,0.0,0.0,2900.0,1
213,['Andrew Dexter'],RI,,['Andrew Dexter'],,,,1114.67,0.0,2900.0,0.0,0.0,0.0,2900.0,1
214,['Andrew Douglass'],PA,,,,,,515.26,0.0,0.0,0.0,0.0,0.0,0.0,0
215,['Andrew Dunscomb'],VA,,,,,,27556.95,0.0,0.0,0.0,0.0,0.0,0.0,0
216,['Andrew Eliot'],CT,['Andrew Elliot'],,,,,246.97,246.9833,0.0,0.0,0.0,0.0,246.9833,1
217,['Andrew Elliott'],RI,,,,,,147.71,0.0,0.0,0.0,0.0,0.0,0.0,0
218,['Andrew Fitch'],CT,['Andrew Fitch'],,,,['Andrew Fitch'],1217.76,600.0,0.0,0.0,0.0,2480.78,3080.78,2
219,['Andrew Geyer'],PA,['Andrew Geyer'],,['Andrew Geyer'],,,1091.31,1479.7846,0.0,53.7,0.0,0.0,1533.4846,2
220,['Andrew Hamersley'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
221,['Andrew Hetfield'],NJ,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
222,['Andrew Hetfield'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
223,['Andrew Huntington'],CT,['Andrew Huntington'],,['Andrew Huntington'],['Andrew Huntington'],,80.07,241.1944,0.0,11.244444444444444,11.244444444444444,0.0,263.6832888888889,3
224,['Andrew Lee'],PA,,['Andrew Lee'],,,['Andrew Lee'],2179.79,0.0,269.59028,0.0,0.0,1600.0,1869.59028,2
225,['Andrew Leiper'],VA,,,,,,58.81,0.0,0.0,0.0,0.0,0.0,0.0,0
226,['Andrew McFarlane'],PA,,,,,,662.66,0.0,0.0,0.0,0.0,0.0,0.0,0
227,['Andrew Pettit'],PA,,,,,,1279.66,0.0,0.0,0.0,0.0,0.0,0.0,0
228,['Andrew Porter'],PA,['Andrew Porter'],,['Andrew Porter'],,['Andrew Porter'],4715.85,15.0,0.0,94.23333333333333,0.0,7035.77,7145.003333333334,3
229,['Andrew Reid'],VA,,,,,,108.1,0.0,0.0,0.0,0.0,0.0,0.0,0
230,['Andrew Rowland'],CT,,,,,,351.27,0.0,0.0,0.0,0.0,0.0,0.0,0
231,['Andrew Shepherd'],VA,,,,,,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0
232,['Andrew Stockholm'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
233,['Andrew Wakeman'],NY,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
234,['Andrew Waterman'],RI,,,,,,196.62,0.0,0.0,0.0,0.0,0.0,0.0,0
235,['Andrew Worman'],MD,['Andrew Worman'],,,,,136.17,136.17916000000002,0.0,0.0,0.0,0.0,136.17916000000002,1
236,['Andrew Yeatman'],PA,['Andrew Yeatman'],,,['Andrew Yeatman'],,1315.72,1083.68331,0.0,0.0,9.0,0.0,1092.68331,2
