,Name,First Name,Last Name,new_town,county,new_state,country,name_type,Name_Fix
1481,Wallace and Muir | Wallce and Muir,Wallace and Muir,,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1495,John of Robert Pinkney | Jon of Robert Pinkney | Jonathan of Robert Pinkney,Jon of Robert Pinkney,,,,MD,US,state,Robert Pinkney
1505,The Treasurer of Cincinnati | The Treasurer of the Cincinnati | The Treasurer of the Cincinnati of Maryland,The Treasurer of the Cincinnati of Maryland,,,,MD,US,state,The Treasurer Of The Cincinnati Of Maryland
1528,Edward Hall | Edward Hall of Isaac,Edward,Hall,,,MD,US,state,Edward Hall
1558,Stewart E Plunkett | Stewart Plunkett | Stewart and Plunkett,Stewart and Plunkett,,,,MD,US,state,David Plunkett | David Stewart
1579,John Laird And Thomas Dick,John Laird And Thomas Dick,,,,MD,US,state,John Laird | Thomas Dick
1580,John Laird And Thomas Dick | John Laird and Thomas Dick,John Laird And Thomas Dick,,,,MD,US,state,John Laird | Thomas Dick
1686,The Estate of General Otto H Williams,,,,,MD,US,state,Otto H Williams
1710,Philemon Hawkins (son of Philemon),Philemon,Hawkins (son of Philemon),,Warren County,NC,US,county,Philemon Hawkins
1718,Philemon Hawkins ( Son of John Jun),Philemon,Hawkins ( Son of John Jun),,Warren County,NC,US,county,Philemon Hawkins
1743,Hartshorne and Lindley ,Hartshorne and Lindley,,Richmond,Chesterfield County,VA,US,town,Joseph Lindley | William Hartshorne
1748,Amis and Burt ,Amis and Burt,,Halifax,Halifax County,NC,US,town,Stephen Burt | Thomas Amis
1791,State of New Hampshire ,State of New Hampshire,,,,NH,US,state,State Of New Hampshire
1793,The Trustees of Phillips Academy ,The Trustees of Phillips Academy,,Andover,Essex County,MA,US,town,The Trustees Of Phillips Academy
1821,Town of Canterbury ,Town of Canterbury,,Canterbury,Rockingham County,NH,US,town,Town Of Canterbury
2019,William Morris and Swanwick | Willing Morris and Swanwick,William Morris and Swanwick,,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2095,McCrea and Mease,McCrea and Mease ,,Alexandria,Fairfax County,VA,US,town,Robert McCrea | Robert Mease
2112,Anthony Weiss | John Ewing | John Ewing for Corp,John,Ewing,,,PA,US,state,Anthony Weiss | John Ewing
2117,Jonathan and Mariamne Williams,Jonathan and Mariamne,Williams,,,PA,US,state,Jonathan Williams | Mariamne Williams
2192,His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene | Thomas Mifflin and Co Ex | Thomas Mifflin and Francis Johnston David Lenax and Charles Smith, Thomas Mifflin and Francis Johnston David Lenax and Charles Smith,,,,PA,US,state,Charles Smith | David Lenax | David Lenox | Francis Johnston | Lawrence Keene | Thomas Mifflin
2218,Richard and James Potter,Richard and James,Potter,Philadelphia,Philadelphia County,PA,US,town,James Potter | Richard Potter
2264,Morris and Swanwick Willing | William Morris and Swanwick,William Morris and Swanwick,,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2285,Richard and James Potter,Richard and James Potter,,Philadelphia,Philadelphia County,PA,US,town,James Potter | Richard Potter
2341,Morris and Swanwick Willing | William Morris and Swanwick | Willing Morris and Swanwick,William Morris and Swanwick,,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
2376,Wharton and Lewis,Wharton and Lewis,,Philadelphia,Philadelphia County,PA,US,town,David Lewis | Isaac Wharton
2409,Bernard and Malfeson,Bernard and Malfeson,,,,PA,US,state,Bernard Malfeson
2451,James Johnston John McDowell and James Strawbridge | James Johnston John McDowell and Samuel Strawbridge,James Johnston John McDowell and James Strawbridge,,,,PA,US,state,James Johnston | James Strawbridge | John McDowell | Samuel Strawbridge
2452,William Sherer and John McDowell | William Sherer and McDowell,William Sherer and John McDowell,,,,PA,US,state,John McDowell | William Sherer
2453,Jeffrey Clark adm. | Jeffrey Clerk,Jeffrey,Clerk,,,PA,US,state,Jeffrey Clark
2468,Jennet Grier James Riddle and Co | Jennet Grier James Riddle and Henry Miller,Jennet Grier James Riddle and Henry Miller,,York Township,York County,PA,US,town,Henry Miller | James Riddle | Jennet Grier
2497,George Leib | George Leib of the N L,George,Leib,Philadelphia,Philadelphia County,PA,US,town,George Leib
2515,Josiah Lockhart | Josiah Lockhart Treasury,Josiah,Lockhart,Lancaster,Lancaster County,PA,US,town,Josiah Lockhart
2562,Alexander Fullerton | Alexander Fullerton and William Honeyman Deceased,Alexander,Fullerton,Philadelphia,Philadelphia County,PA,US,town,Alexander Fullerton | William Honeyman
2598,Daniel Cornog | Daniel Cornug Administor and Co,Daniel,Cornog,,Chester County,PA,US,county,Daniel Cornog
2602,Elizabeth and John Grover,Elizabeth and John,Grover,,,PA,US,state,Elizabeth Grover | John Grover
2629,Cath and William Coleman | Catharine And William Coleman Executor of Jacob Coleman deceased | Catherine and William,Catherine and William,,,,PA,US,state,Catharine Coleman | Catherine Coleman | Jacob Coleman | William Coleman
2669,James Boyd and Jonathan B Smith,James Boyd and Jonathan B Smith,,,,PA,US,state,James Boyd | Jonathan B Smith
2693,The Trustees of Preb Church Work Joseph Buck County | Trustees of the Presbyterean Church Warwick Township Bucks | Trustees of the Presbyterian Church,Trustees of the Presbyterean Church Warwick Township Bucks,,,Bucks County,PA,US,county,Trustees Of The Presbyterean Church Warwick Township Bucks
2749,Thomas Folwell and Jo Hart | Thomas Folwell and Joseph Hart | Thomas Folwell and Joseph Hart Executor of John Hart deceased,Thomas Folwell and Joseph Hart,,,,PA,US,state,John Hart | Joseph Hart | Thomas Folwell
2760,Rebecca Wharton and Deborah Wharton | Rebecca and Deborah Wharton,Rebecca and Deborah,Wharton,Philadelphia,Philadelphia County,PA,US,town,Deborah Wharton | Rebecca Wharton
2761,Society for Releif of Poor distressd Masters of Ships and Co | Society for the Relief of poor and distressed Masters of Ships their Widows,Society for the Relief of poor and distressed Masters of Ships their Widows,,,,PA,US,state,Joseph Stiles
2772,Andrew Clow and Co | Andrew Clow and Co Agents to James Brown | Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton,Andrew Clow and Co,,,,PA,US,state,Andrew Clow | Hugh Patton | James Brown
2787,Ann Henry | Ann Henry Executor of William Henry deceased,Ann,Henry,,,PA,US,state,Ann Henry | William Henry
2822,Richard and James Potter,,,,,PA,US,state,James Potter | Richard Potter
2854,Reed and Forde | Reide and Forde,Reed and Forde,,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2858,John Butler | John Butler from Treasury,John,Butler,Philadelphia,Philadelphia County,PA,US,town,John Butler
2899,Reed and Forde,Reed and Forde,,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
2917,Mary Chevalier | Mary Chevalier Guardian to William Chevalier,Mary ,Chevalier,Philadelphia,Philadelphia County,PA,US,town,Mary Chevalier | William Chevalier
2929,Joseph Stiles for Society and Co | Society for the Relief of poor and distressed Masters of Ships their Widows,Society for the Relief of poor and distressed Masters of Ships their Widows,,,,PA,US,state,Joseph Stiles
2944,Willing Morries and Swanwick | Willing Morris and Swanwick,Willing Morris and Swanwick,,Philadelphia,Philadelphia County,PA,US,town,John Swanwick | Robert Morris | Thomas Willing
3000,Berdd and Pryor | Budd Pryor | Budd and Pryor,Budd,Pryor,Philadelphia,Philadelphia County,PA,US,town,John Budd | Norton Pryor
3022,Trustees of 2nd R Church | Trustees of the Second Presbeterian Church | Trustees of the Second Presbyterian,Trustees of the Second Presbyterian,,Philadelphia,Philadelphia County,PA,US,town,Trustees Of The Second Presbeterian Church
3039,Ditta in Trust for Jonnet Thompson,,,,,PA,US,state,Jonnet Thompson
3040,Trustees of Prebn Church Abarwick Bucks County | Trustees of the Presbyterean Church Warwick Township Bucks | Trustees of the Presbyterian Church,Trustees of the Presbyterean Church Warwick Township Bucks,,,Bucks County,PA,US,county,Trustees Of The Presbyterean Church Warwick Township Bucks
3102,Wilhem and Jan Willink and William Bingham | William and Jan Willink and William Bingham,Wilhem and Jan Willink and William Bingham,,,,PA,US,state,Jan Willink | William Bingham | William Willink
3103,The Commonwealth of Pennsylvania,,,,,PA,US,state,The Commonwealth Of Pennsylvania
3105,The Trustees of the second presbyterian Church in philadelphia,,,Philadelphia,Philadelphia County,PA,US,town,The Trustees Of The Second Presbyterian Church In Philadelphia
3106,Nathaniel Irwin Admin to the Est of Richard Walker deceased,,,,,PA,US,state,Nathaniel Irwin | Richard Walker
3150,Nesmoz and Valiant | Nesmoz and Valliant,Nesmoz and Valliant,,,,PA,US,state,Nesmoz And Valiant
3221,Joseph Dearman | Joseph Dearman guardian to Christopher Snider,Joseph,Dearman,,,PA,US,state,Christopher Snider | Joseph Dearman
3242,Reed and Forde | Reede and Ford,Reed and Forde,,Philadelphia,Philadelphia County,PA,US,town,John Reed | Standish Forde
3248,Peter Vanderveer | Peter Vanderveer in trust for Jacobus Van Eis,Peter,Vanderveer,,Somerset County,NJ,US,county,Jacobus Van Eis | Peter Vanderveer
3372,Nicholas and Hannah Cooke,Nicholas and Hannah,Cooke,,,RI,US,state,Hannah Cooke | Nicholas Cooke
3429,Nathan Waterman and Robert Newell,Nathan Waterman and Robert Newell  ,,,,RI,US,state,Nathan Waterman | Robert Newell
3450,William Potter | William Potter of South Kingstone,William,Potter,Kingston,Washington County,RI,US,town,William Potter
3553,Joseph Jenckes and David L Barnes,Joseph Jenckes and David L Barnes,,Providence,Providence County,RI,US,town,David L Barnes | Joseph Jenckes
3554,Moses and Nicholas Brown,Moses and Nicholas Brown ,,Providence,Providence County,RI,US,town,Moses Brown | Nicholas Brown
3647,Nicholas and Hannah Cooke | Nicholas and Hannah Coske Administrators | Robert Crooke,Nicholas and Hannah,Cooke,,,RI,US,state,Hannah Cooke | Hannah Coske | Nicholas Cooke | Robert Crooke
3655,N Waterman and R Newell Administrator | Nathan Waterman and Robert Newell administrator to the est of Jn Demount,Nathan Waterman and Robert Newell administrator to the est of Jn Demount,,,,RI,US,state,Jn Demount | Nathan Waterman | Robert Newell
3720,Samuel and Charles Sampson,Samuel and Charles,Sampson,Providence,Providence County,RI,US,town,Charles Sampson | Samuel Sampson
3785,Moses and Nicholas Brown,Moses and Nicholas,Brown,Providence,Providence County,RI,US,town,Moses Brown | Nicholas Brown
3786,Bank of Providence,Bank of Providence,,Providence,Providence County,RI,US,town,Bank Of Providence
3787,President Directors of the Bank of Providence,President Directors of the Bank of Providence,,Providence,Providence County,RI,US,town,President Directors Of The Bank Of Providence
3808,Pardon Tillinghast | Pardon Tillinghast of Exeter,Pardon,Tillinghast,,,RI,US,state,Pardon Tillinghast
3822,Nathan and Frederick Williams | Nathan and Fredrick Williams,Nathan and Frederick,Williams,,,RI,US,state,Frederick Williams | Nathan Williams
3826,Clark and Hammond,Clark and Hammond,,Newport,Newport County,RI,US,town,Ethan Clark
3853,Bethiah Jenckes Transfer from Register of Treasury | Bethiah Jenckes transfer from Register | Bethiah Jencks transfer from register,Bethiah Jencks transfer from register,,,,RI,US,state,Bethiah Jenckes | Bethiah Jencks
3860,Peleg Shearman Transferred from the Register of the Treasury | Peleg Shearman transfer from the Register of the Treasury | Peleg Shearman transfer the register,Peleg Shearman transfer the register,,,,RI,US,state,Peleg Shearman
3864,William Vernon Transfer from the Register of the Treasury | William Vernon transferred from the Register of Treasury | William Vernon transferred from the Register of treasury,William Vernon transferred from the Register of treasury,,,,RI,US,state,William Vernon
3865,Clark and Nightingale Transferred from Register | Clark and Nightingale transferred,Clark and Nightingale transferred,,Providence,Providence County,RI,US,town,Joseph Innes Clark | Joseph Nightingale
3866,Mess and Nicholas Brown transferred | Moses and Nicholas Brown Transferred from Treasury | Moses and Nicholas Brown transferred,Moses and Nicholas Brown transferred,,,,RI,US,state,Mess Brown | Moses Brown | Nicholas Brown
3867,Samuel Nightingale Transferred from Treasury | Samuel Nightingale transfer from Treasury | Samuel and Nightingale transfer from treasury,Samuel and Nightingale transfer from treasury,,,,RI,US,state,Samuel Nightingale
3868,Benjamin Bowen | Benjamin Brown Transferred from Treasury | Benjamin Brown transfer from treasury,Benjamin Brown transfer from treasury,,,,RI,US,state,Benjamin Bowen | Benjamin Brown
3869,Samuel Eddy | Samuel Eddy Transferred from Treasury | Samuel Eddy transfer from treasury,Samuel Eddy transfer from treasury,,,,RI,US,state,Samuel Eddy
3870,Stephen Tillinghast transferred from treasury,Stephen Tillinghast transferred from treasury,,,,RI,US,state,Stephen Tillinghast
3871,Clark and Nightingale | Clark and Nightingale transferred to treasury,Clark and Nightingale transferred to treasury,,,,RI,US,state,Joseph Innes Clark | Joseph Nightingale
3872,Mess Brown and Frances from the Register of the Treasury | Mess Brown and Frances transferred from the Register of the Treasury | Mess Brown and Francis Transferred from the Register of the Treasury,Mess Brown and Frances transferred from the Register of the Treasury,,,,RI,US,state,John Francis | MOses Brown
3873,Clark and Nightingale Transferred from Register | Clark and Nightingale transferred,Clark and Nightingale transferred,,,,RI,US,state,Joseph Innes Clark | Joseph Nightingale
3874,James Manning | James Manning Transferred from Treasury | James Manning transferred from the Treasury,James Manning Transferred from Treasury,,,,RI,US,state,James Manning
3876,Philip Allen | Philip Allen Transferred to Massachusetts | Philip Allen transferred from Massachusetts,Philip Allen Transferred to Massachusetts,,,,RI,US,state,Philip Allen
3877,Clark and Nightingale Register | Clark and Nightingale Transferred from the Reg | Clarkand Nightingale Transferred from the Register,Clark and Nightingale Transferred from the Reg ,,,,RI,US,state,Joseph Innes Clark | Joseph Nightingale
3884,Hopestill McNeal | Hopestill McNeal Transferred from the Register of the Treasury,Hopestill,McNeal,,,RI,US,state,Hopestill Mcneal
3885,John Smith | John Smith Transferred from the Register of the Treasury,John,Smith,Johnston,Providence County,RI,US,town,John Smith
3886,Nehemiah Rhodes | Nehemiah Rhodes Transferred from the Register of the Treasury,Nehemiah,Rhodes,Cranston,Providence County,RI,US,town,Nehemiah Rhodes
3887,Thomas Fry and Co | Thomas Fry and Co Transferred from the Register of the Treasury,Thomas Fry and Co ,,,,RI,US,state,Thomas Fry
3888,John Mumford Journal | John Mumford Transferred from Treasury | John Mumford transferred from the Treasury,John Mumford Transferred from Treasury,,,,RI,US,state,John Mumford
3894,Clark and Nightingale | Nathaniel Barney transfer from Register | Nicholas Banney transfer from register,Nicholas Banney transfer from register,,,,RI,US,state,Joseph Innes Clark | Joseph Nightingale | Nathaniel Barney | Nicholas Barney
3895,Clark and Nightingale transfer from Register | Clark and Nightingale transfer from register | William Larned,Clark and Nightingale transfer from register,,Providence,Providence County,RI,US,town,Joseph Innes Clark | Joseph Nightingale | William Larned
3896,Joseph A Rechards Transfer from Treasury | William Larned transfer from Register | William Learned transfer from register,William Learned transfer from register,,,,RI,US,state,Joseph A Rechards | William Larned | William Learned
3897,Henry Sherburne Transferred from the Register of the Treasury | Joseph A Richards transfer from Register | Samuel Vernon transfer from register,Samuel Vernon transfer from register,,,,RI,US,state,Henry Sherburne | Joseph A Richards | Samuel Vernon
3898,Brown Benson and Ives transferred from the books in Massachusetts | Henry Sherburne transferred from the Register of the Treasury | William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099,Brown Benson and Ives transferred from the books in Massachusetts,,,,RI,US,state,Brown Benson Ives | Henry Sherburne | William Wheaten
3899,"Joseph A Richards transfer from register | Matthew Watson Transferred from the Office of William Imlay Connecticut | William Wheater transferred from the books of the Register as of Warrant No 10,101",Joseph A Richards transfer from register,,,,RI,US,state,Joseph A Richards | Matthew Watson | William Wheater
3900,Christopher Hill Transferred from the Register | Matthew Watson transferred from the office in Connecticut | the president and Co of bank of providence from the books in Massachusetts,the president and Co of bank of providence from the books in Massachusetts,,,,RI,US,state,Christopher Hill | Matthew Watson
3901,John Warren Transferred from the Register | William Littlefeild transferred from the office of the Register | the president and Co of bank of providence from the books in Massachusetts,the president and Co of bank of providence from the books in Massachusetts,,,,RI,US,state,John Warren | William Littlefeild
3902,Christopher Hill transferred from the Register of the Treasury | Henry Sherburne transfer from the register of the treasury | Sarah Ward Transferred from the Register,Henry Sherburne transfer from the register of the treasury,,,,RI,US,state,Christopher Hill | Henry Sherburne | Sarah Ward
3903,Elisha Aldrich Transferred from the Register | John Warner transferred from the Register of the Treasury | William Wheaten Transferred from the Register of the Treasury of Warrents No 10100,William Wheaten Transferred from the Register of the Treasury of Warrents No 10100,,,,RI,US,state,Elisha Aldrich | John Warner | William Wheaten
3904,John Mawney Transferred from the Register | Matthew Watson from the office of William Imlay Connecticut | Sarah Ward transferred from the Register of the Treasury,Matthew Watson from the office of William Imlay Connecticut,,,,RI,US,state,John Mawney | Matthew Watson | Sarah Ward | William Imlay
3905,Elisha Aldrich transferred from the Register of the Treasury | John Rogers Transferred from the Register of the Treasury | William Littlefield from the office of the Register of Treasury,William Littlefield from the office of the Register of Treasury,,,,RI,US,state,Elisha Aldrich | John Rogers | William Littlefield
3906,Abram Belknap transferred from the Register of the Treasury | Christopher Hill transferred from Register | John Eddy Transferred from the Register of the Treasury,Christopher Hill transferred from Register,,,,RI,US,state,Abram Belknap | Christopher Hill | John Eddy
3907,John Mawney transferred from the Register of the Treasury | John Warner transferred from Register,John Warner transferred from Register,,,,RI,US,state,John Mawney | John Warner
3908,John Rogers transfer from the Register of the Treasury | Sarah Ward transferred from Register,Sarah Ward transferred from Register,,,,RI,US,state,John Rogers | Sarah Ward
3909,Elisha Aldrich transferred from Register | John Eddy transferred from the Register of the Treasury,Elisha Aldrich transferred from Register,,,,RI,US,state,Elisha Aldrich | John Eddy
3911,Dr William Handy in trust for his Nephew William Handy Transferred from the Books at New York | Philip N Brown Transferred from the Office in Providence | Philip N Brown transferred from the office in Pensylvania,Dr William Handy in trust for his Nephew William Handy Transferred from the Books at New York,,,,RI,US,state,William Handy | Philip N Brown
3912,Dr William Handy in trust for his Niece Mehetable Handy Transferred from the Books at New York | Warrant for transfering into the books of this office Vizt | Warrant for transferring into the books of this office Vizt,Dr William Handy in trust for his Niece Mehetable Handy Transferred from the Books at New York,,,,RI,US,state,Mehetable Handy | William Handy
3913,10926 in Favor Johh Brown from the Register of the Treasury | John Mawney transferred from the register of the Treasury | No 10925 in favor of John Brown from the Register of the Treasury,John Mawney transferred from the register of the Treasury,,,,RI,US,state,John Brown | John Mawney
3914,Jn Rogers transfer from Register | Warrants from the Secretary of the Treasury for transferring to the books of this office Vizt | Warrats for Transfering into the Books of this Office Vizt,Jn Rogers transfer from Register,,,,RI,US,state,John Rogers
3915,Christopher Smith No 11750 | John Eddy transfer from Register | No 11749 in fovar Christopher Smith from Register of the Treasury,John Eddy transfer from Register,,,,RI,US,state,Christopher Smith | John Eddy
3916,No 11758 in Favor Stephen Davis Adm To Jeremiah Davis Deceased from D | Stephen Davis Administrator No 11757,,,,,RI,US,state,Jeremiah Davis | Stephen Davis
